[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2020-04-17 11:49:52.568340 I | etcdmain: etcd Version: 3.4.3
2020-04-17 11:49:52.568713 I | etcdmain: Git SHA: 3cf2f69b5
2020-04-17 11:49:52.568723 I | etcdmain: Go Version: go1.12.12
2020-04-17 11:49:52.568731 I | etcdmain: Go OS/Arch: linux/amd64
2020-04-17 11:49:52.568739 I | etcdmain: setting maximum number of CPUs to 2, total number of available CPUs is 2
2020-04-17 11:49:52.663163 N | etcdmain: the server is already initialized as member before, starting as etcd member...
[WARNING] Deprecated '--logger=capnslog' flag is set; use '--logger=zap' flag instead
2020-04-17 11:49:52.663354 I | embed: peerTLS: cert = /etc/kubernetes/pki/etcd/peer.crt, key = /etc/kubernetes/pki/etcd/peer.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2020-04-17 11:49:53.317151 I | embed: name = masternode
2020-04-17 11:49:53.317191 I | embed: data dir = /var/lib/etcd
2020-04-17 11:49:53.317200 I | embed: member dir = /var/lib/etcd/member
2020-04-17 11:49:53.317205 I | embed: heartbeat = 100ms
2020-04-17 11:49:53.317209 I | embed: election = 1000ms
2020-04-17 11:49:53.317214 I | embed: snapshot count = 10000
2020-04-17 11:49:53.317234 I | embed: advertise client URLs = https://192.168.56.2:2379
2020-04-17 11:49:53.317240 I | embed: initial advertise peer URLs = https://192.168.56.2:2380
2020-04-17 11:49:53.317246 I | embed: initial cluster = 
2020-04-17 11:49:54.429052 I | etcdserver: recovered store from snapshot at index 230023
2020-04-17 11:49:54.618161 I | mvcc: restore compact to 203700
2020-04-17 11:50:02.022029 I | etcdserver: restarting member 3ec8d20e7e3a97b3 in cluster 33d12346b561f7da at commit index 231968
raft2020/04/17 11:50:02 INFO: 3ec8d20e7e3a97b3 switched to configuration voters=(4524096785382807475)
raft2020/04/17 11:50:02 INFO: 3ec8d20e7e3a97b3 became follower at term 9
raft2020/04/17 11:50:02 INFO: newRaft 3ec8d20e7e3a97b3 [peers: [3ec8d20e7e3a97b3], term: 9, commit: 231968, applied: 230023, lastindex: 231968, lastterm: 9]
2020-04-17 11:50:02.036752 I | etcdserver/api: enabled capabilities for version 3.4
2020-04-17 11:50:02.036797 I | etcdserver/membership: added member 3ec8d20e7e3a97b3 [https://192.168.56.2:2380] to cluster 33d12346b561f7da from store
2020-04-17 11:50:02.036811 I | etcdserver/membership: set the cluster version to 3.4 from store
2020-04-17 11:50:02.066066 I | mvcc: restore compact to 203700
2020-04-17 11:50:02.083847 W | auth: simple token is not cryptographically signed
2020-04-17 11:50:02.090562 I | etcdserver: starting server... [version: 3.4.3, cluster version: 3.4]
2020-04-17 11:50:02.092706 I | etcdserver: 3ec8d20e7e3a97b3 as single-node; fast-forwarding 9 ticks (election ticks 10)
2020-04-17 11:50:02.172827 I | embed: ClientTLS: cert = /etc/kubernetes/pki/etcd/server.crt, key = /etc/kubernetes/pki/etcd/server.key, trusted-ca = /etc/kubernetes/pki/etcd/ca.crt, client-cert-auth = true, crl-file = 
2020-04-17 11:50:02.173296 I | embed: listening for metrics on http://127.0.0.1:2381
2020-04-17 11:50:02.173846 I | embed: listening for peers on 192.168.56.2:2380
raft2020/04/17 11:50:02 INFO: 3ec8d20e7e3a97b3 is starting a new election at term 9
raft2020/04/17 11:50:02 INFO: 3ec8d20e7e3a97b3 became candidate at term 10
raft2020/04/17 11:50:02 INFO: 3ec8d20e7e3a97b3 received MsgVoteResp from 3ec8d20e7e3a97b3 at term 10
raft2020/04/17 11:50:02 INFO: 3ec8d20e7e3a97b3 became leader at term 10
raft2020/04/17 11:50:02 INFO: raft.node: 3ec8d20e7e3a97b3 elected leader 3ec8d20e7e3a97b3 at term 10
2020-04-17 11:50:02.247524 I | etcdserver: published {Name:masternode ClientURLs:[https://192.168.56.2:2379]} to cluster 33d12346b561f7da
2020-04-17 11:50:02.247754 I | embed: ready to serve client requests
2020-04-17 11:50:02.248142 I | embed: ready to serve client requests
2020-04-17 11:50:02.296258 I | embed: serving client requests on 192.168.56.2:2379
2020-04-17 11:50:02.297121 I | embed: serving client requests on 127.0.0.1:2379
2020-04-17 11:50:02.668473 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitiont\" count_only:true " with result "range_response_count:0 size:6" took too long (100.60214ms) to execute
2020-04-17 11:50:02.691685 W | etcdserver: read-only range request "key:\"/registry/apiextensions.k8s.io/customresourcedefinitions/\" range_end:\"/registry/apiextensions.k8s.io/customresourcedefinitions0\" limit:10000 " with result "range_response_count:0 size:6" took too long (125.879655ms) to execute
2020-04-17 11:50:10.539959 W | etcdserver: read-only range request "key:\"/registry/ranges/serviceips\" " with result "range_response_count:1 size:121410" took too long (280.561553ms) to execute
2020-04-17 11:50:10.540520 W | etcdserver: request "header:<ID:10931205549377338817 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-node-lease/workernode1\" mod_revision:205118 > success:<request_put:<key:\"/registry/leases/kube-node-lease/workernode1\" value_size:545 >> failure:<request_range:<key:\"/registry/leases/kube-node-lease/workernode1\" > >>" with result "size:18" took too long (181.519013ms) to execute
2020-04-17 11:50:10.544296 W | etcdserver: read-only range request "key:\"/registry/clusterroles/\" range_end:\"/registry/clusterroles0\" " with result "range_response_count:60 size:56254" took too long (121.60906ms) to execute
2020-04-17 11:50:10.596193 W | etcdserver: read-only range request "key:\"/registry/limitranges/kube-system/\" range_end:\"/registry/limitranges/kube-system0\" " with result "range_response_count:0 size:6" took too long (107.453878ms) to execute
2020-04-17 11:50:10.596679 W | etcdserver: read-only range request "key:\"/registry/priorityclasses/system-node-critical\" " with result "range_response_count:1 size:396" took too long (129.530268ms) to execute
2020-04-17 11:50:10.596993 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-apiserver-masternode\" " with result "range_response_count:1 size:6660" took too long (168.390011ms) to execute
2020-04-17 11:50:10.913723 W | etcdserver: request "header:<ID:10931205549377338827 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/leases/kube-node-lease/masternode\" mod_revision:205164 > success:<request_put:<key:\"/registry/leases/kube-node-lease/masternode\" value_size:542 >> failure:<request_range:<key:\"/registry/leases/kube-node-lease/masternode\" > >>" with result "size:18" took too long (263.151587ms) to execute
2020-04-17 11:50:10.919485 W | etcdserver: read-only range request "key:\"/registry/priorityclasses/system-cluster-critical\" " with result "range_response_count:1 size:431" took too long (269.484795ms) to execute
2020-04-17 11:50:11.183330 W | etcdserver: read-only range request "key:\"/registry/resourcequotas/kube-system/\" range_end:\"/registry/resourcequotas/kube-system0\" " with result "range_response_count:0 size:6" took too long (365.68796ms) to execute
2020-04-17 11:50:11.184123 W | etcdserver: read-only range request "key:\"/registry/minions/masternode\" " with result "range_response_count:1 size:5686" took too long (365.727498ms) to execute
2020-04-17 11:50:11.187606 W | etcdserver: read-only range request "key:\"/registry/limitranges/kube-system/\" range_end:\"/registry/limitranges/kube-system0\" " with result "range_response_count:0 size:6" took too long (537.516332ms) to execute
2020-04-17 11:50:11.190274 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:aggregate-to-admin\" " with result "range_response_count:1 size:841" took too long (540.221491ms) to execute
2020-04-17 11:50:11.191780 W | etcdserver: read-only range request "key:\"/registry/services/specs/\" range_end:\"/registry/services/specs0\" " with result "range_response_count:6 size:6009" took too long (541.684483ms) to execute
2020-04-17 11:50:11.193275 W | etcdserver: read-only range request "key:\"/registry/minions/workernode2\" " with result "range_response_count:1 size:5279" took too long (136.24933ms) to execute
2020-04-17 11:50:11.205287 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/weave-net-4sqsw\" " with result "range_response_count:1 size:7046" took too long (146.867534ms) to execute
2020-04-17 11:50:11.214007 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-controller-manager-masternode\" " with result "range_response_count:1 size:6820" took too long (155.816817ms) to execute
2020-04-17 11:50:11.443592 W | etcdserver: read-only range request "key:\"/registry/pods/kube-system/kube-controller-manager-masternode\" " with result "range_response_count:1 size:7095" took too long (246.807496ms) to execute
2020-04-17 11:50:11.473496 W | etcdserver: read-only range request "key:\"/registry/minions/workernode2\" " with result "range_response_count:1 size:5279" took too long (231.929704ms) to execute
2020-04-17 11:50:11.474036 W | etcdserver: read-only range request "key:\"/registry/clusterroles/system:aggregate-to-edit\" " with result "range_response_count:1 size:1869" took too long (270.587061ms) to execute
2020-04-17 11:50:11.474805 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:362" took too long (272.005292ms) to execute
2020-04-17 11:50:12.638483 W | etcdserver: read-only range request "key:\"/registry/ranges/servicenodeports\" " with result "range_response_count:1 size:362" took too long (1.117801183s) to execute
2020-04-17 11:50:12.639651 W | etcdserver: request "header:<ID:10931205549377338856 username:\"kube-apiserver-etcd-client\" auth_revision:1 > txn:<compare:<target:MOD key:\"/registry/events/default/workernode1.1606990b3a45bedb\" mod_revision:205174 > success:<request_put:<key:\"/registry/events/default/workernode1.1606990b3a45bedb\" value_size:557 lease:1707833512522563007 >> failure:<request_range:<key:\"/registry/events/default/workernode1.1606990b3a45bedb\" > >>" with result "size:18" took too long (141.680439ms) to execute
2020-04-17 11:50:12.680058 W | etcdserver: read-only range request "key:\"/registry/services/endpoints/kube-system/kube-controller-manager\" " with result "range_response_count:1 size:608" took too long (342.023477ms) to execute
2020-04-17 11:50:12.680664 W | etcdserver: read-only range request "key:\"/registry/health\" " with result "range_response_count:0 size:6" took too long (840.984722ms) to execute
